path,label,intent,speaker,split,phrase_id,variant_id,transcript,slot,slot_value,duration_sec
ALARM_6_00AM/ALARM_6_00AM_s100_v1_clean.wav,ALARM_6_00AM,ALARM,s100,test,v1,clean,Alarm 6 AM,time,6 AM,1.500
ALARM_6_00AM/ALARM_6_00AM_s100_v1_noisy.wav,ALARM_6_00AM,ALARM,s100,test,v1,noisy,Alarm 6 AM,time,6 AM,1.500
ALARM_6_00AM/ALARM_6_00AM_s100_v2_clean.wav,ALARM_6_00AM,ALARM,s100,test,v2,clean,Wake me up at 6 AM,time,6 AM,1.540
ALARM_6_00AM/ALARM_6_00AM_s100_v2_noisy.wav,ALARM_6_00AM,ALARM,s100,test,v2,noisy,Wake me up at 6 AM,time,6 AM,1.540
ALARM_6_00AM/ALARM_6_00AM_s10_v1_clean.wav,ALARM_6_00AM,ALARM,s10,train,v1,clean,Alarm 6 AM,time,6 AM,1.940
ALARM_6_00AM/ALARM_6_00AM_s10_v1_noisy.wav,ALARM_6_00AM,ALARM,s10,train,v1,noisy,Alarm 6 AM,time,6 AM,1.940
ALARM_6_00AM/ALARM_6_00AM_s10_v2_clean.wav,ALARM_6_00AM,ALARM,s10,train,v2,clean,Wake me up at 6 AM,time,6 AM,2.020
ALARM_6_00AM/ALARM_6_00AM_s10_v2_noisy.wav,ALARM_6_00AM,ALARM,s10,train,v2,noisy,Wake me up at 6 AM,time,6 AM,2.020
ALARM_6_00AM/ALARM_6_00AM_s10_v3_clean.wav,ALARM_6_00AM,ALARM,s10,train,v3,clean,Set an alarm for 6 AM,time,6 AM,1.900
ALARM_6_00AM/ALARM_6_00AM_s10_v3_noisy.wav,ALARM_6_00AM,ALARM,s10,train,v3,noisy,Set an alarm for 6 AM,time,6 AM,1.900
ALARM_6_00AM/ALARM_6_00AM_s11_v1_clean.wav,ALARM_6_00AM,ALARM,s11,train,v1,clean,Alarm 6 AM,time,6 AM,2.560
ALARM_6_00AM/ALARM_6_00AM_s11_v1_noisy.wav,ALARM_6_00AM,ALARM,s11,train,v1,noisy,Alarm 6 AM,time,6 AM,2.560
ALARM_6_00AM/ALARM_6_00AM_s11_v2_clean.wav,ALARM_6_00AM,ALARM,s11,train,v2,clean,Wake me up at 6 AM,time,6 AM,2.120
ALARM_6_00AM/ALARM_6_00AM_s11_v2_noisy.wav,ALARM_6_00AM,ALARM,s11,train,v2,noisy,Wake me up at 6 AM,time,6 AM,2.120
ALARM_6_00AM/ALARM_6_00AM_s11_v3_clean.wav,ALARM_6_00AM,ALARM,s11,train,v3,clean,Set an alarm for 6 AM,time,6 AM,2.560
ALARM_6_00AM/ALARM_6_00AM_s11_v3_noisy.wav,ALARM_6_00AM,ALARM,s11,train,v3,noisy,Set an alarm for 6 AM,time,6 AM,2.560
ALARM_6_00AM/ALARM_6_00AM_s12_v1_clean.wav,ALARM_6_00AM,ALARM,s12,train,v1,clean,Alarm 6 AM,time,6 AM,1.860
ALARM_6_00AM/ALARM_6_00AM_s12_v1_noisy.wav,ALARM_6_00AM,ALARM,s12,train,v1,noisy,Alarm 6 AM,time,6 AM,1.860
ALARM_6_00AM/ALARM_6_00AM_s12_v2_clean.wav,ALARM_6_00AM,ALARM,s12,train,v2,clean,Wake me up at 6 AM,time,6 AM,1.940
ALARM_6_00AM/ALARM_6_00AM_s12_v2_noisy.wav,ALARM_6_00AM,ALARM,s12,train,v2,noisy,Wake me up at 6 AM,time,6 AM,1.940
ALARM_6_00AM/ALARM_6_00AM_s12_v3_clean.wav,ALARM_6_00AM,ALARM,s12,train,v3,clean,Set an alarm for 6 AM,time,6 AM,2.180
ALARM_6_00AM/ALARM_6_00AM_s12_v3_noisy.wav,ALARM_6_00AM,ALARM,s12,train,v3,noisy,Set an alarm for 6 AM,time,6 AM,2.180
ALARM_6_00AM/ALARM_6_00AM_s13_v1_clean.wav,ALARM_6_00AM,ALARM,s13,train,v1,clean,Alarm 6 AM,time,6 AM,1.960
ALARM_6_00AM/ALARM_6_00AM_s13_v1_noisy.wav,ALARM_6_00AM,ALARM,s13,train,v1,noisy,Alarm 6 AM,time,6 AM,1.960
ALARM_6_00AM/ALARM_6_00AM_s13_v2_clean.wav,ALARM_6_00AM,ALARM,s13,train,v2,clean,Wake me up at 6 AM,time,6 AM,2.040
ALARM_6_00AM/ALARM_6_00AM_s13_v2_noisy.wav,ALARM_6_00AM,ALARM,s13,train,v2,noisy,Wake me up at 6 AM,time,6 AM,2.040
ALARM_6_00AM/ALARM_6_00AM_s13_v3_clean.wav,ALARM_6_00AM,ALARM,s13,train,v3,clean,Set an alarm for 6 AM,time,6 AM,2.000
ALARM_6_00AM/ALARM_6_00AM_s13_v3_noisy.wav,ALARM_6_00AM,ALARM,s13,train,v3,noisy,Set an alarm for 6 AM,time,6 AM,2.000
ALARM_6_00AM/ALARM_6_00AM_s14_v1_clean.wav,ALARM_6_00AM,ALARM,s14,train,v1,clean,Alarm 6 AM,time,6 AM,2.200
ALARM_6_00AM/ALARM_6_00AM_s14_v1_noisy.wav,ALARM_6_00AM,ALARM,s14,train,v1,noisy,Alarm 6 AM,time,6 AM,2.200
ALARM_6_00AM/ALARM_6_00AM_s14_v2_clean.wav,ALARM_6_00AM,ALARM,s14,train,v2,clean,Wake me up at 6 AM,time,6 AM,2.120
ALARM_6_00AM/ALARM_6_00AM_s14_v2_noisy.wav,ALARM_6_00AM,ALARM,s14,train,v2,noisy,Wake me up at 6 AM,time,6 AM,2.120
ALARM_6_00AM/ALARM_6_00AM_s14_v3_clean.wav,ALARM_6_00AM,ALARM,s14,train,v3,clean,Set an alarm for 6 AM,time,6 AM,2.240
ALARM_6_00AM/ALARM_6_00AM_s14_v3_noisy.wav,ALARM_6_00AM,ALARM,s14,train,v3,noisy,Set an alarm for 6 AM,time,6 AM,2.240
ALARM_6_00AM/ALARM_6_00AM_s15_v1_clean.wav,ALARM_6_00AM,ALARM,s15,train,v1,clean,Alarm 6 AM,time,6 AM,1.740
ALARM_6_00AM/ALARM_6_00AM_s15_v1_noisy.wav,ALARM_6_00AM,ALARM,s15,train,v1,noisy,Alarm 6 AM,time,6 AM,1.740
ALARM_6_00AM/ALARM_6_00AM_s15_v2_clean.wav,ALARM_6_00AM,ALARM,s15,train,v2,clean,Wake me up at 6 AM,time,6 AM,1.980
ALARM_6_00AM/ALARM_6_00AM_s15_v2_noisy.wav,ALARM_6_00AM,ALARM,s15,train,v2,noisy,Wake me up at 6 AM,time,6 AM,1.980
ALARM_6_00AM/ALARM_6_00AM_s15_v3_clean.wav,ALARM_6_00AM,ALARM,s15,train,v3,clean,Set an alarm for 6 AM,time,6 AM,2.260
ALARM_6_00AM/ALARM_6_00AM_s15_v3_noisy.wav,ALARM_6_00AM,ALARM,s15,train,v3,noisy,Set an alarm for 6 AM,time,6 AM,2.260
ALARM_6_00AM/ALARM_6_00AM_s16_v1_clean.wav,ALARM_6_00AM,ALARM,s16,train,v1,clean,Alarm 6 AM,time,6 AM,1.180
ALARM_6_00AM/ALARM_6_00AM_s16_v1_noisy.wav,ALARM_6_00AM,ALARM,s16,train,v1,noisy,Alarm 6 AM,time,6 AM,1.180
ALARM_6_00AM/ALARM_6_00AM_s16_v2_clean.wav,ALARM_6_00AM,ALARM,s16,train,v2,clean,Wake me up at 6 AM,time,6 AM,1.460
ALARM_6_00AM/ALARM_6_00AM_s16_v2_noisy.wav,ALARM_6_00AM,ALARM,s16,train,v2,noisy,Wake me up at 6 AM,time,6 AM,1.460
ALARM_6_00AM/ALARM_6_00AM_s16_v3_clean.wav,ALARM_6_00AM,ALARM,s16,train,v3,clean,Set an alarm for 6 AM,time,6 AM,1.700
ALARM_6_00AM/ALARM_6_00AM_s16_v3_noisy.wav,ALARM_6_00AM,ALARM,s16,train,v3,noisy,Set an alarm for 6 AM,time,6 AM,1.700
ALARM_6_00AM/ALARM_6_00AM_s17_v1_clean.wav,ALARM_6_00AM,ALARM,s17,train,v1,clean,Alarm 6 AM,time,6 AM,1.480
ALARM_6_00AM/ALARM_6_00AM_s17_v1_noisy.wav,ALARM_6_00AM,ALARM,s17,train,v1,noisy,Alarm 6 AM,time,6 AM,1.480
ALARM_6_00AM/ALARM_6_00AM_s17_v2_clean.wav,ALARM_6_00AM,ALARM,s17,train,v2,clean,Wake me up at 6 AM,time,6 AM,2.280
ALARM_6_00AM/ALARM_6_00AM_s17_v2_noisy.wav,ALARM_6_00AM,ALARM,s17,train,v2,noisy,Wake me up at 6 AM,time,6 AM,2.280
ALARM_6_00AM/ALARM_6_00AM_s17_v3_clean.wav,ALARM_6_00AM,ALARM,s17,train,v3,clean,Set an alarm for 6 AM,time,6 AM,1.800
ALARM_6_00AM/ALARM_6_00AM_s17_v3_noisy.wav,ALARM_6_00AM,ALARM,s17,train,v3,noisy,Set an alarm for 6 AM,time,6 AM,1.800
ALARM_6_00AM/ALARM_6_00AM_s18_v1_clean.wav,ALARM_6_00AM,ALARM,s18,train,v1,clean,Alarm 6 AM,time,6 AM,2.000
ALARM_6_00AM/ALARM_6_00AM_s18_v1_noisy.wav,ALARM_6_00AM,ALARM,s18,train,v1,noisy,Alarm 6 AM,time,6 AM,2.000
ALARM_6_00AM/ALARM_6_00AM_s18_v2_clean.wav,ALARM_6_00AM,ALARM,s18,train,v2,clean,Wake me up at 6 AM,time,6 AM,2.560
ALARM_6_00AM/ALARM_6_00AM_s18_v2_noisy.wav,ALARM_6_00AM,ALARM,s18,train,v2,noisy,Wake me up at 6 AM,time,6 AM,2.560
ALARM_6_00AM/ALARM_6_00AM_s18_v3_clean.wav,ALARM_6_00AM,ALARM,s18,train,v3,clean,Set an alarm for 6 AM,time,6 AM,2.440
ALARM_6_00AM/ALARM_6_00AM_s18_v3_noisy.wav,ALARM_6_00AM,ALARM,s18,train,v3,noisy,Set an alarm for 6 AM,time,6 AM,2.440
ALARM_6_00AM/ALARM_6_00AM_s19_v1_clean.wav,ALARM_6_00AM,ALARM,s19,train,v1,clean,Alarm 6 AM,time,6 AM,2.080
ALARM_6_00AM/ALARM_6_00AM_s19_v1_noisy.wav,ALARM_6_00AM,ALARM,s19,train,v1,noisy,Alarm 6 AM,time,6 AM,2.080
ALARM_6_00AM/ALARM_6_00AM_s19_v2_clean.wav,ALARM_6_00AM,ALARM,s19,train,v2,clean,Wake me up at 6 AM,time,6 AM,2.160
ALARM_6_00AM/ALARM_6_00AM_s19_v2_noisy.wav,ALARM_6_00AM,ALARM,s19,train,v2,noisy,Wake me up at 6 AM,time,6 AM,2.160
ALARM_6_00AM/ALARM_6_00AM_s19_v3_clean.wav,ALARM_6_00AM,ALARM,s19,train,v3,clean,Set an alarm for 6 AM,time,6 AM,3.000
ALARM_6_00AM/ALARM_6_00AM_s19_v3_noisy.wav,ALARM_6_00AM,ALARM,s19,train,v3,noisy,Set an alarm for 6 AM,time,6 AM,3.000
ALARM_6_00AM/ALARM_6_00AM_s1_v1_clean.wav,ALARM_6_00AM,ALARM,s1,train,v1,clean,Alarm 6 AM,time,6 AM,1.560
